dbid	mnemonic	displayText	displayTextRu
166	1	Shale (sand)	Песчаник глин
167	2	Shale (fossil)	Глина с ОРД
169	3	Sand/sandstone	Песок с грав.
170	4	Sand	Песок
171	5	Sandstone	Песчаник
172	6	Dolomit limestone	Доломит извест.
175	7	Alevroloite	Алевролит
176	8	Алевролит бит.	Алевролит бит.
177	9	Shale	Глина
178	10	Argillit	Аргиллит
179	11	Аргиллит бит.	Аргиллит бит.
180	12	Limestone	Известняк
181	13	Limestone shale	Известн. глин.
182	14	Известняк бит.	Известняк бит.
184	15	Извест.доломит.	Извест.доломит.
185	16	Песок,песчаник	Песок,песчаник
188	17	Мергель	Мергель
190	18	Гипс	Гипс
191	19	Соль загипсованная	Соль загипсованная
192	20	Ангидрит	Ангидрит
193	21	Salt	Соль
194	22	Соль-ангидрит	Соль-ангидрит
197	23	Ангидрид-гипс	Ангидрит-гипс
198	24	Кремнистая пор.	Кремнистая пор.
199	25	Calcite	Кальцит
200	26	Dolomite	Доломит
201	27	Oil	Нефть
206	29	Water	Вода
207	30	Gas	Газ
208	31	Глина с пиритом	Глина с пиритом
209	32	Агриллит с пиритом	Агриллит с пиритом
210	33	Clay, sland	Песчаник битум
211	34	Silt	Алеврит
212	35	Sandstone silted	Алевропесчаник
213	36	Доломит глин	Доломит глин
214	37	Сульфатно-терригенная	Сульфатно-терригенная
215	38	ПУСТАЯ	ПУСТАЯ
217	39	Терригенно-сульфатно-галогенная	Терригенно-сульфатно-галогенная
